sent_id	word	pos	tag
1	Préparez	VERB	O
1	une	DET	O
1	pâte	NOUN	O
1	brisée	VERB	O
1	avec	ADP	O
1	farine	NOUN	B-INGRED
1	,	PUNCT	O
1	beurre	ADJ	B-INGRED
1	,	PUNCT	O
1	eau	NOUN	B-INGRED
1	et	CCONJ	O
1	sel	NOUN	B-INGRED
1	.	PUNCT	O
2	Roulez	VERB	O
3	-	PUNCT	O
4	la	DET	O
4	jusqu'	ADP	O
4	à	ADP	O
4	ce	PRON	O
4	qu'	SCONJ	O
4	elle	PRON	O
4	soit	AUX	O
4	un	DET	O
4	peu	ADV	O
4	plus	ADV	O
4	mince	ADJ	O
4	qu'	SCONJ	O
4	une	DET	O
4	pâte	NOUN	O
4	à	ADP	O
4	tarte	NOUN	O
4	.	PUNCT	O
5	Découpez	NOUN	O
6	-	PUNCT	O
6	la	DET	O
6	en	ADP	O
6	rondelles	NOUN	O
6	à	ADP	O
6	l'	DET	O
6	aide	NOUN	O
6	d'	ADP	O
6	un	DET	O
6	grand	ADJ	O
6	verre	NOUN	O
6	ou	CCONJ	O
6	d'	ADP	O
6	une	DET	O
6	tasse	NOUN	O
6	à	ADP	O
6	thé	NOUN	O
6	dont	PRON	O
6	vous	PRON	O
6	suivrez	VERB	O
6	les	DET	O
6	contours	NOUN	O
6	avec	ADP	O
6	un	DET	O
6	couteau	NOUN	O
6	pointu	ADJ	O
6	.	PUNCT	O
7	D'	ADP	O
7	autre	ADJ	O
7	part	NOUN	O
7	,	PUNCT	O
7	hachez	ADP	O
7	ensemble	NOUN	O
7	boeuf	NOUN	B-INGRED
7	,	PUNCT	O
7	champignons	NOUN	B-INGRED
7	et	CCONJ	O
7	herbes	NOUN	O
7	,	PUNCT	O
7	salez	VERB	O
7	,	PUNCT	O
7	poivrez	VERB	O
7	,	PUNCT	O
7	liez	VERB	O
7	cette	DET	O
7	farce	NOUN	O
7	avec	ADP	O
7	deux	NUM	O
7	oeufs	NOUN	B-INGRED
7	battus	VERB	O
7	.	PUNCT	O
8	Sur	ADP	O
8	chaque	DET	O
8	rondelle	NOUN	O
8	de	ADP	O
8	pâte	NOUN	O
8	déposez	VERB	O
8	un	DET	O
8	petit	ADJ	O
8	tas	NOUN	O
8	de	ADP	O
8	farce	NOUN	O
8	.	PUNCT	O
9	Repliez	VERB	O
9	la	DET	O
9	rondelle	NOUN	O
9	en	ADP	O
9	deux	PRON	O
9	.	PUNCT	O
10	Soudez	PROPN	O
10	les	DET	O
10	bords	NOUN	O
10	en	ADP	O
10	appuyant	VERB	O
10	fortement	ADV	O
10	du	ADP	O
10	bout	NOUN	O
10	des	ADP	O
10	doigts	NOUN	O
10	.	PUNCT	O
11	Badigeonnez	VERB	O
11	à	ADP	O
11	l'	DET	O
11	oeuf	NOUN	B-INGRED
11	battu	VERB	O
11	le	DET	O
11	dessus	NOUN	O
11	de	ADP	O
11	chaque	DET	O
11	petit	ADJ	O
11	chausson	NOUN	O
11	.	PUNCT	O
12	Mettez	VERB	O
12	à	ADP	O
12	four	NOUN	O
12	moyen	ADJ	O
12	,	PUNCT	O
12	180	NUM	O
12	°	NOUN	O
12	C	NOUN	O
12	(	PUNCT	O
12	thermostat	NOUN	O
12	6	NUM	O
12	)	PUNCT	O
12	,	PUNCT	O
12	environ	ADV	O
12	15	NUM	O
12	minutes	NOUN	O
12	.	PUNCT	O
13	Préchauffer	NOUN	O
13	le	DET	O
13	four	NOUN	O
13	à	ADP	O
13	thermostat	NOUN	O
13	7	NUM	O
13	(	PUNCT	O
13	210	NUM	O
13	°	NOUN	O
13	C).Peler	PROPN	O
13	,	PUNCT	O
13	laver	VERB	O
13	,	PUNCT	O
13	sécher	VERB	O
13	et	CCONJ	O
13	tailler	VERB	O
13	les	DET	O
13	pommes	NOUN	B-INGRED
13	de	ADP	I-INGRED
13	terre	NOUN	I-INGRED
13	en	ADP	O
13	rondelles	NOUN	O
13	à	ADP	O
13	l’	DET	O
13	aide	NOUN	O
13	d’	ADP	O
